Date,Last/Close,Open,High,Low
2011-10-03,3534.6,3530.5,3562.6,3512.45
2011-10-04,3460.7,3515.6,3537.8,3440.3
2011-10-05,3459.35,3473.2,3509.9,3452.85
2011-10-07,3535.75,3521.75,3564.2,3513.1
2011-10-10,3615.95,3514.8,3622.65,3514.8
2011-10-11,3652.45,3637.95,3675.15,3637.95
2011-10-12,3705.9,3650.95,3749.15,3613.5
2011-10-13,3659.3,3724.1,3738.2,3647.45
2011-10-14,3693.4,3639.65,3700.05,3638.6
2011-10-17,3752.3,3720.65,3763.25,3711.0
2011-10-18,3689.3,3715.4,3720.0,3662.75
2011-10-19,3754.35,3730.45,3763.45,3730.45
2011-10-20,3699.1,3726.9,3730.45,3653.05
2011-10-21,3692.15,3724.15,3739.9,3683.65
2011-10-24,3759.9,3740.35,3777.55,3736.2
2011-10-25,3864.05,3779.6,3870.45,3744.45
2011-10-26,3873.5,3880.9,3892.85,3865.6
2011-10-28,3983.85,3951.35,4014.15,3951.35
2011-10-31,3944.05,3966.35,3966.35,3930.95
2011-11-01,3868.15,3916.2,3950.15,3848.8
2011-11-02,3859.75,3839.5,3898.05,3832.65
2011-11-03,3848.5,3853.0,3861.45,3809.05
2011-11-04,3861.6,3897.4,3912.55,3837.7
2011-11-08,3859.1,3877.05,3883.45,3836.05
2011-11-09,3791.3,3874.25,3884.0,3783.3
2011-11-11,3819.0,3786.05,3845.35,3777.05
2011-11-14,3738.85,3842.65,3864.0,3724.9
2011-11-15,3678.25,3720.7,3766.2,3667.2
2011-11-16,3675.35,3687.65,3691.35,3634.0
2011-11-17,3608.85,3667.8,3674.1,3595.5
2011-11-18,3563.3,3581.65,3590.75,3520.95
2011-11-21,3476.1,3544.15,3544.85,3464.0
2011-11-22,3515.5,3495.65,3542.0,3456.35
2011-11-23,3465.35,3498.6,3506.3,3424.85
2011-11-24,3539.9,3455.35,3551.1,3423.25
2011-11-25,3493.0,3514.7,3561.35,3479.65
2011-11-28,3547.4,3528.5,3565.45,3524.05
2011-11-29,3555.4,3548.95,3585.2,3519.85
2011-11-30,3527.8,3536.5,3558.45,3499.7
2011-12-01,3604.9,3614.35,3658.4,3594.55
2011-12-02,3686.8,3603.75,3691.4,3594.95
2011-12-05,3685.25,3675.8,3703.7,3667.75
2011-12-07,3705.35,3688.85,3733.8,3688.85
2011-12-08,3643.4,3701.95,3710.85,3624.8
2011-12-09,3561.3,3596.05,3596.05,3534.0
2011-12-12,3466.3,3592.85,3602.6,3457.7
2011-12-13,3503.75,3440.8,3516.85,3440.8
2011-12-14,3455.35,3488.3,3530.1,3443.45
2011-12-15,3404.65,3422.8,3433.7,3363.2
2011-12-16,3379.05,3416.2,3489.45,3348.3
2011-12-19,3382.0,3368.65,3388.05,3332.5
2011-12-20,3304.8,3390.1,3400.3,3292.7
2011-12-21,3387.1,3362.55,3398.8,3326.6
2011-12-22,3434.6,3336.65,3444.5,3336.65
2011-12-23,3446.65,3464.8,3475.7,3428.2
2011-12-26,3480.7,3454.7,3493.3,3447.85
2011-12-27,3456.3,3480.35,3494.1,3442.3
2011-12-28,3413.1,3453.85,3465.4,3401.3
2011-12-29,3400.5,3394.25,3431.65,3383.5
2011-12-30,3390.55,3411.85,3444.8,3376.3
2012-01-02,3356.1,3413.35,3424.45,3310.7
2012-01-03,3414.05,3379.1,3419.1,3367.8
2012-01-04,3386.1,3416.9,3427.05,3363.6
2012-01-05,3426.75,3385.85,3444.5,3383.15
2012-01-06,3416.0,3404.75,3434.75,3372.65
2012-01-07,3411.3,3423.3,3426.35,3406.8
2012-01-09,3395.85,3401.0,3403.3,3365.2
2012-01-10,3493.55,3409.75,3498.05,3409.75
2012-01-11,3503.95,3504.95,3512.55,3477.45
2012-01-12,3529.85,3490.9,3547.55,3486.45
2012-01-13,3531.7,3556.95,3572.75,3506.95
2012-01-16,3557.8,3510.05,3563.75,3487.95
2012-01-17,3643.15,3589.7,3657.15,3587.35
2012-01-18,3600.15,3653.05,3653.35,3592.05
2012-01-19,3637.5,3634.25,3660.3,3631.85
2012-01-20,3664.2,3646.9,3682.15,3629.2
2012-01-23,3677.95,3664.55,3686.75,3637.6
2012-01-24,3730.45,3693.05,3739.05,3647.6
2012-01-25,3775.4,3743.35,3795.0,3734.75
2012-01-27,3818.55,3800.9,3825.65,3785.5
2012-01-30,3749.75,3800.85,3803.6,3741.6
2012-01-31,3836.5,3777.2,3849.25,3763.2
2012-02-01,3910.0,3846.95,3924.1,3846.15
2012-02-02,3922.5,3950.25,3956.55,3899.4
2012-02-03,3944.4,3932.4,3961.65,3903.9
2012-02-06,3985.3,3981.75,4011.75,3954.8
2012-02-07,3940.95,4013.15,4013.15,3925.15
2012-02-08,3969.15,3940.0,3991.6,3912.0
2012-02-09,4040.8,3960.0,4053.2,3955.95
2012-02-10,4031.2,4034.85,4078.25,4000.5
2012-02-13,4068.65,4034.9,4088.15,4034.45
2012-02-14,4154.2,4073.3,4181.55,4073.3
2012-02-15,4293.95,4217.3,4331.5,4214.75
2012-02-16,4296.45,4263.9,4312.7,4221.25
2012-02-17,4277.95,4336.55,4350.15,4268.75
2012-02-21,4290.45,4280.85,4311.75,4267.45
2012-02-22,4229.3,4289.15,4327.7,4210.15
2012-02-23,4189.25,4218.9,4244.45,4169.95
2012-02-24,4169.85,4209.6,4240.2,4152.85
2012-02-27,4034.1,4185.95,4185.95,4004.95
2012-02-28,4160.05,4057.5,4172.55,4057.5
2012-02-29,4159.4,4186.55,4234.5,4120.3
2012-03-01,4115.7,4154.85,4178.05,4081.55
2012-03-02,4114.6,4149.15,4160.0,4093.5
2012-03-03,4105.8,4116.65,4119.6,4103.1
2012-03-05,4089.8,4094.8,4108.65,4059.7
2012-03-06,4066.9,4081.85,4177.2,4049.2
2012-03-07,4071.95,4062.9,4091.3,4042.9
2012-03-09,4165.0,4123.35,4171.6,4118.8
2012-03-12,4193.9,4191.7,4205.75,4144.1
2012-03-13,4194.35,4209.25,4235.7,4189.4
2012-03-14,4237.25,4229.2,4281.9,4225.3
2012-03-15,4209.0,4234.8,4234.8,4173.55
2012-03-16,4215.4,4196.75,4310.3,4152.05
2012-03-19,4197.05,4225.15,4249.65,4187.7
2012-03-20,4132.1,4198.1,4218.5,4105.35
2012-03-21,4192.2,4134.75,4198.9,4104.45
2012-03-22,4118.75,4179.2,4231.15,4104.3
2012-03-23,4147.75,4121.2,4177.75,4074.55
2012-03-26,4093.0,4151.3,4151.3,4079.8
2012-03-27,4106.95,4134.75,4139.9,4061.1
2012-03-28,4083.95,4100.25,4103.35,4066.5
2012-03-29,4105.95,4062.4,4116.85,4043.55
2012-03-30,4207.0,4126.1,4222.75,4115.85
2012-04-02,4216.3,4244.5,4247.9,4193.6
2012-04-03,4209.95,4234.1,4243.7,4200.35
2012-04-04,4188.8,4194.35,4206.95,4175.95
2012-04-09,4139.35,4168.15,4175.65,4130.45
2012-04-10,4184.1,4151.2,4190.25,4127.9
2012-04-11,4168.3,4162.5,4204.35,4150.6
2012-04-12,4214.9,4187.95,4226.05,4180.2
2012-04-13,4229.75,4227.2,4314.25,4222.6
2012-04-16,4284.95,4228.65,4294.6,4215.6
2012-04-17,4325.95,4311.75,4331.6,4265.7
2012-04-18,4389.6,4345.35,4405.2,4345.35
2012-04-19,4471.3,4411.6,4486.2,4395.05
2012-04-20,4472.4,4457.25,4505.15,4433.85
2012-04-23,4396.3,4466.5,4501.5,4380.5
2012-04-24,4395.65,4388.95,4404.3,4359.5
2012-04-25,4416.45,4388.55,4432.0,4374.7
2012-04-26,4377.05,4429.45,4438.85,4368.0
2012-04-27,4384.4,4385.95,4417.7,4360.15
2012-04-28,4401.95,4394.75,4411.15,4380.8
2012-04-30,4433.15,4395.1,4440.4,4371.95
2012-05-02,4356.9,4432.2,4432.2,4346.7
2012-05-03,4250.4,4331.85,4331.85,4243.65
2012-05-04,4174.65,4227.05,4229.85,4138.4
2012-05-07,4228.9,4134.0,4254.1,4086.3
2012-05-08,4142.25,4241.2,4268.9,4130.9
2012-05-09,4105.4,4103.35,4139.75,4082.6
2012-05-10,4072.75,4112.0,4172.45,4060.25
2012-05-11,4094.1,4051.4,4114.3,4032.6
2012-05-14,4073.5,4103.85,4130.75,4043.15
2012-05-15,4076.05,4046.25,4089.9,4030.95
2012-05-16,3973.8,3988.35,3990.3,3931.85
2012-05-17,3952.55,3989.25,4011.65,3940.0
2012-05-18,3875.85,3889.25,3904.45,3827.8
2012-05-21,3903.1,3873.05,3923.65,3873.05
2012-05-22,3878.05,3936.0,3958.05,3869.35
2012-05-23,3853.7,3855.75,3865.15,3818.2
2012-05-24,3893.3,3846.5,3897.65,3813.75
2012-05-25,3884.15,3881.1,3900.3,3852.95
2012-05-28,3946.9,3895.45,3951.55,3891.1
2012-05-29,3958.85,3973.55,3986.3,3944.8
2012-05-30,3814.15,3879.05,3879.05,3808.05
2012-05-31,3739.75,3770.7,3772.95,3729.8
2012-06-01,3670.8,3742.2,3751.3,3663.25
2012-06-04,3695.25,3636.95,3702.9,3612.95
2012-06-05,3685.5,3696.85,3715.2,3676.45
2012-06-06,3821.55,3704.8,3830.8,3704.8
2012-06-07,3871.45,3836.2,3880.05,3814.95
2012-06-08,3872.75,3858.1,3881.7,3823.35
2012-06-11,3846.7,3889.4,3924.9,3832.9
2012-06-12,3914.3,3821.7,3924.85,3821.7
2012-06-13,3851.7,3910.4,3916.95,3838.6
