Date,Last/Close,Open,High,Low,Volume
01/4/2005,1000.0,,,,
04/4/2005,1009.3,,,,
05/4/2005,1002.37,,,,
06/4/2005,1011.84,,,,
07/4/2005,1011.98,,,,
08/4/2005,1005.67,,,,
11/4/2005,994.8,,,,
12/4/2005,1001.82,,,,
13/4/2005,1003.46,,,,
15/4/2005,980.77,,,,
18/4/2005,973.21,,,,
19/4/2005,972.33,,,,
20/4/2005,976.29,,,,
21/4/2005,992.43,,,,
22/4/2005,1004.79,,,,
25/4/2005,1008.65,,,,
26/4/2005,1008.22,,,,
27/4/2005,998.7,,,,
28/4/2005,994.19,,,,
29/4/2005,980.57,,,,
02/5/2005,974.78,,,,
03/5/2005,977.0,,,,
04/5/2005,986.56,,,,
05/5/2005,996.25,,,,
06/5/2005,1000.69,,,,
09/5/2005,1013.36,,,,
10/5/2005,1013.34,,,,
11/5/2005,1016.82,,,,
12/5/2005,1028.0,,,,
13/5/2005,1033.99,,,,
16/5/2005,1044.78,,,,
17/5/2005,1036.51,,,,
18/5/2005,1041.73,,,,
19/5/2005,1048.19,,,,
20/5/2005,1044.96,,,,
23/5/2005,1050.54,,,,
24/5/2005,1055.06,,,,
25/5/2005,1058.65,,,,
26/5/2005,1057.89,,,,
27/5/2005,1054.62,,,,
30/5/2005,1047.28,,,,
31/5/2005,1054.85,,,,
01/6/2005,1061.19,,,,
02/6/2005,1055.68,,,,
03/6/2005,1064.06,,,,
04/6/2005,1068.88,,,,
06/6/2005,1070.66,,,,
07/6/2005,1074.61,,,,
08/6/2005,1078.55,,,,
09/6/2005,1083.39,,,,
10/6/2005,1081.09,,,,
13/6/2005,1082.74,,,,
14/6/2005,1086.49,,,,
15/6/2005,1091.7,,,,
16/6/2005,1080.98,,,,
17/6/2005,1063.71,,,,
20/6/2005,1060.18,,,,
21/6/2005,1064.3,,,,
22/6/2005,1060.53,,,,
23/6/2005,1065.17,,,,
24/6/2005,1074.42,,,,
27/6/2005,1074.5,,,,
28/6/2005,1057.2,,,,
29/6/2005,1065.95,,,,
30/6/2005,1064.61,,,,
01/7/2005,1077.24,,,,
04/7/2005,1095.53,,,,
05/7/2005,1093.3,,,,
06/7/2005,1111.58,,,,
07/7/2005,1096.43,,,,
08/7/2005,1112.81,,,,
11/7/2005,1128.05,,,,
12/7/2005,1130.2,,,,
13/7/2005,1138.31,,,,
14/7/2005,1134.93,,,,
15/7/2005,1147.28,,,,
18/7/2005,1171.77,,,,
19/7/2005,1180.95,,,,
20/7/2005,1184.29,,,,
21/7/2005,1177.43,,,,
22/7/2005,1190.66,,,,
25/7/2005,1193.75,,,,
26/7/2005,1189.0,,,,
27/7/2005,1190.5,,,,
29/7/2005,1179.61,,,,
01/8/2005,1188.65,,,,
02/8/2005,1210.75,,,,
03/8/2005,1208.82,,,,
04/8/2005,1215.87,,,,
05/8/2005,1227.18,,,,
08/8/2005,1214.97,,,,
09/8/2005,1208.81,,,,
10/8/2005,1233.92,,,,
11/8/2005,1252.33,,,,
12/8/2005,1258.52,,,,
16/8/2005,1266.82,,,,
17/8/2005,1278.11,,,,
18/8/2005,1272.73,,,,
19/8/2005,1273.96,,,,
22/8/2005,1272.16,,,,
23/8/2005,1243.39,,,,
24/8/2005,1225.97,,,,
25/8/2005,1236.93,,,,
26/8/2005,1258.64,,,,
29/8/2005,1259.48,,,,
30/8/2005,1274.58,,,,
31/8/2005,1287.87,,,,
01/9/2005,1298.68,,,,
02/9/2005,1302.88,,,,
05/9/2005,1305.17,,,,
06/9/2005,1308.2,,,,
08/9/2005,1315.17,,,,
09/9/2005,1314.08,,,,
12/9/2005,1328.99,,,,
13/9/2005,1337.0,,,,
14/9/2005,1330.87,,,,
15/9/2005,1348.35,,,,
16/9/2005,1356.16,,,,
19/9/2005,1373.22,,,,
20/9/2005,1367.45,,,,
21/9/2005,1333.25,,,,
22/9/2005,1263.92,,,,
23/9/2005,1277.5,,,,
26/9/2005,1318.58,,,,
27/9/2005,1330.64,,,,
28/9/2005,1343.89,,,,
29/9/2005,1341.46,,,,
30/9/2005,1337.5,,,,
03/10/2005,1356.15,,,,
04/10/2005,1370.62,,,,
05/10/2005,1367.23,,,,
06/10/2005,1346.43,,,,
07/10/2005,1342.42,,,,
10/10/2005,1337.64,,,,
11/10/2005,1332.23,,,,
13/10/2005,1321.34,,,,
14/10/2005,1292.06,,,,
17/10/2005,1281.67,,,,
18/10/2005,1275.26,,,,
19/10/2005,1238.55,,,,
20/10/2005,1215.92,,,,
21/10/2005,1235.73,,,,
24/10/2005,1235.68,,,,
25/10/2005,1234.82,,,,
26/10/2005,1228.51,,,,
27/10/2005,1206.49,,,,
28/10/2005,1187.17,,,,
31/10/2005,1214.03,,,,
01/11/2005,1228.93,,,,
02/11/2005,1234.72,,,,
07/11/2005,1257.72,,,,
08/11/2005,1271.75,,,,
09/11/2005,1270.75,,,,
10/11/2005,1273.69,,,,
11/11/2005,1293.49,,,,
14/11/2005,1296.69,,,,
16/11/2005,1300.66,,,,
17/11/2005,1304.27,,,,
18/11/2005,1310.14,,,,
21/11/2005,1303.83,,,,
22/11/2005,1293.22,,,,
23/11/2005,1296.58,,,,
24/11/2005,1303.83,,,,
25/11/2005,1315.13,,,,
26/11/2005,1330.37,,,,
28/11/2005,1340.37,,,,
29/11/2005,1333.09,,,,
30/11/2005,1331.69,,,,
01/12/2005,1347.79,,,,
02/12/2005,1357.05,,,,
05/12/2005,1353.48,,,,
06/12/2005,1355.02,,,,
07/12/2005,1363.04,,,,
08/12/2005,1368.73,,,,
09/12/2005,1382.77,,,,
12/12/2005,1389.75,,,,
13/12/2005,1399.75,,,,
14/12/2005,1394.06,,,,
15/12/2005,1383.16,,,,
16/12/2005,1389.63,,,,
19/12/2005,1399.75,,,,
20/12/2005,1396.27,,,,
21/12/2005,1396.94,,,,
22/12/2005,1399.22,,,,
23/12/2005,1389.55,,,,
26/12/2005,1365.48,,,,
27/12/2005,1388.07,,,,
28/12/2005,1390.13,,,,
29/12/2005,1399.85,,,,
30/12/2005,1414.17,,,,
02/1/2006,1432.33,,,,
03/1/2006,1453.7,,,,
04/1/2006,1460.52,,,,
05/1/2006,1467.0,,,,
06/1/2006,1478.04,,,,
09/1/2006,1490.27,,,,
10/1/2006,1482.24,,,,
12/1/2006,1481.49,,,,
13/1/2006,1485.01,,,,
16/1/2006,1479.43,,,,
17/1/2006,1465.52,,,,
18/1/2006,1456.66,,,,
19/1/2006,1483.55,,,,
20/1/2006,1497.3,,,,
23/1/2006,1496.67,,,,
24/1/2006,1501.41,,,,
25/1/2006,1505.02,,,,
27/1/2006,1529.99,,,,
30/1/2006,1511.04,,,,
31/1/2006,1511.78,,,,
01/2/2006,1494.73,,,,
02/2/2006,1496.74,,,,
03/2/2006,1503.68,,,,
06/2/2006,1524.19,,,,
07/2/2006,1534.41,,,,
08/2/2006,1530.06,,,,
10/2/2006,1548.49,,,,
13/2/2006,1561.74,,,,
14/2/2006,1553.27,,,,
15/2/2006,1551.08,,,,
16/2/2006,1557.96,,,,
17/2/2006,1535.96,,,,
20/2/2006,1522.15,,,,
21/2/2006,1533.5,,,,
22/2/2006,1535.89,,,,
23/2/2006,1530.32,,,,
24/2/2006,1540.0,,,,
27/2/2006,1552.83,,,,
28/2/2006,1548.68,,,,
01/3/2006,1573.47,,,,
02/3/2006,1587.59,,,,
03/3/2006,1597.4,,,,
06/3/2006,1619.22,,,,
07/3/2006,1634.31,,,,
08/3/2006,1610.8,,,,
09/3/2006,1617.72,,,,
10/3/2006,1636.79,,,,
13/3/2006,1646.62,,,,
14/3/2006,1639.82,,,,
16/3/2006,1646.67,,,,
17/3/2006,1639.13,,,,
20/3/2006,1652.09,,,,
21/3/2006,1653.76,,,,
22/3/2006,1639.23,,,,
23/3/2006,1645.31,,,,
24/3/2006,1658.4,,,,
27/3/2006,1676.04,,,,
28/3/2006,1668.75,,,,
29/3/2006,1677.74,,,,
30/3/2006,1695.39,,,,
31/3/2006,1721.36,,,,
03/4/2006,1765.64,,,,
04/4/2006,1778.44,,,,
05/4/2006,1803.85,,,,
07/4/2006,1780.66,,,,
10/4/2006,1789.55,,,,
12/4/2006,1753.24,,,,
13/4/2006,1720.29,,,,
17/4/2006,1748.7,,,,
18/4/2006,1768.92,,,,
19/4/2006,1775.03,,,,
20/4/2006,1787.95,,,,
21/4/2006,1792.76,,,,
24/4/2006,1803.26,,,,
25/4/2006,1776.87,,,,
26/4/2006,1803.5,,,,
27/4/2006,1810.99,,,,
28/4/2006,1806.03,,,,
29/4/2006,1846.28,,,,
02/5/2006,1857.98,,,,
03/5/2006,1860.93,,,,
04/5/2006,1858.05,,,,
05/5/2006,1860.04,,,,
08/5/2006,1867.99,,,,
09/5/2006,1870.81,,,,
10/5/2006,1882.6,,,,
11/5/2006,1864.57,,,,
12/5/2006,1850.67,,,,
15/5/2006,1786.44,,,,
16/5/2006,1768.1,,,,
17/5/2006,1827.48,,,,
18/5/2006,1712.58,,,,
19/5/2006,1646.59,,,,
22/5/2006,1536.64,,,,
23/5/2006,1582.2,,,,
24/5/2006,1573.39,,,,
25/5/2006,1557.82,,,,
26/5/2006,1596.46,,,,
29/5/2006,1610.22,,,,
30/5/2006,1609.06,,,,
31/5/2006,1568.17,,,,
01/6/2006,1522.42,,,,
02/6/2006,1511.45,,,,
05/6/2006,1489.56,,,,
06/6/2006,1432.04,,,,
07/6/2006,1340.83,,,,
08/6/2006,1237.31,,,,
09/6/2006,1309.57,,,,
12/6/2006,1287.66,,,,
13/6/2006,1203.46,,,,
14/6/2006,1166.52,,,,
15/6/2006,1237.99,,,,
16/6/2006,1293.44,,,,
19/6/2006,1321.66,,,,
20/6/2006,1322.96,,,,
21/6/2006,1359.92,,,,
22/6/2006,1389.79,,,,
23/6/2006,1392.48,,,,
25/6/2006,1406.55,,,,
26/6/2006,1346.67,,,,
27/6/2006,1338.27,,,,
28/6/2006,1333.59,,,,
29/6/2006,1342.25,,,,
30/6/2006,1388.44,,,,
03/7/2006,1391.89,,,,
04/7/2006,1392.31,,,,
05/7/2006,1408.62,,,,
06/7/2006,1409.21,,,,
07/7/2006,1387.19,,,,
10/7/2006,1385.52,,,,
11/7/2006,1381.44,,,,
12/7/2006,1383.34,,,,
13/7/2006,1381.17,,,,
14/7/2006,1365.32,,,,
17/7/2006,1333.17,,,,
18/7/2006,1310.41,,,,
19/7/2006,1272.23,,,,
20/7/2006,1285.74,,,,
21/7/2006,1254.86,,,,
24/7/2006,1245.65,,,,
25/7/2006,1273.53,,,,
26/7/2006,1297.55,,,,
27/7/2006,1317.12,,,,
28/7/2006,1337.16,,,,
31/7/2006,1351.76,,,,
01/8/2006,1341.4,,,,
02/8/2006,1358.33,,,,
03/8/2006,1367.17,,,,
04/8/2006,1362.39,,,,
07/8/2006,1363.77,,,,
08/8/2006,1381.13,,,,
09/8/2006,1405.7,,,,
10/8/2006,1435.02,,,,
11/8/2006,1450.3,,,,
14/8/2006,1480.02,,,,
16/8/2006,1497.61,,,,
17/8/2006,1483.92,,,,
18/8/2006,1494.85,,,,
21/8/2006,1505.07,,,,
22/8/2006,1504.03,,,,
23/8/2006,1487.4,,,,
24/8/2006,1492.76,,,,
25/8/2006,1507.55,,,,
28/8/2006,1515.57,,,,
29/8/2006,1515.24,,,,
30/8/2006,1513.97,,,,
31/8/2006,1501.38,,,,
01/9/2006,1519.34,,,,
04/9/2006,1546.34,,,,
05/9/2006,1553.54,,,,
06/9/2006,1559.28,,,,
07/9/2006,1558.81,,,,
08/9/2006,1579.21,,,,
11/9/2006,1524.25,,,,
12/9/2006,1537.61,,,,
13/9/2006,1559.5,,,,
14/9/2006,1566.53,,,,
15/9/2006,1569.26,,,,
18/9/2006,1576.13,,,,
19/9/2006,1556.68,,,,
20/9/2006,1563.87,,,,
21/9/2006,1577.73,,,,
22/9/2006,1569.37,,,,
25/9/2006,1564.78,,,,
26/9/2006,1572.45,,,,
27/9/2006,1582.97,,,,
28/9/2006,1592.22,,,,
29/9/2006,1617.35,,,,
03/10/2006,1622.1,,,,
04/10/2006,1613.96,,,,
05/10/2006,1645.52,,,,
06/10/2006,1657.88,,,,
09/10/2006,1666.68,,,,
10/10/2006,1660.9,,,,
11/10/2006,1641.08,,,,
12/10/2006,1655.32,,,,
13/10/2006,1658.21,,,,
16/10/2006,1658.2,,,,
17/10/2006,1650.25,,,,
18/10/2006,1653.59,,,,
19/10/2006,1645.83,,,,
20/10/2006,1658.14,,,,
21/10/2006,1671.71,,,,
23/10/2006,1662.14,,,,
26/10/2006,1672.63,,,,
27/10/2006,1689.42,,,,
30/10/2006,1696.74,,,,
31/10/2006,1688.13,,,,
01/11/2006,1697.5,,,,
02/11/2006,1701.32,,,,
03/11/2006,1703.57,,,,
06/11/2006,1722.19,,,,
07/11/2006,1729.12,,,,
08/11/2006,1707.82,,,,
09/11/2006,1722.26,,,,
10/11/2006,1731.44,,,,
13/11/2006,1751.63,,,,
14/11/2006,1739.78,,,,
15/11/2006,1732.59,,,,
16/11/2006,1731.12,,,,
17/11/2006,1703.81,,,,
20/11/2006,1685.96,,,,
21/11/2006,1714.83,,,,
22/11/2006,1732.05,,,,
23/11/2006,1739.29,,,,
24/11/2006,1749.76,,,,
27/11/2006,1761.51,,,,
28/11/2006,1750.37,,,,
29/11/2006,1770.48,,,,
30/11/2006,1762.01,,,,
01/12/2006,1780.43,,,,
04/12/2006,1791.76,,,,
05/12/2006,1795.11,,,,
06/12/2006,1779.01,,,,
07/12/2006,1778.83,,,,
08/12/2006,1770.06,,,,
11/12/2006,1725.67,,,,
12/12/2006,1655.8,,,,
13/12/2006,1692.2,,,,
14/12/2006,1732.55,,,,
15/12/2006,1749.34,,,,
18/12/2006,1747.7,,,,
19/12/2006,1723.17,,,,
20/12/2006,1715.78,,,,
21/12/2006,1729.26,,,,
22/12/2006,1742.89,,,,
26/12/2006,1761.84,,,,
27/12/2006,1775.93,,,,
28/12/2006,1777.98,,,,
29/12/2006,1795.28,,,,
02/1/2007,1818.14,,,,
03/1/2007,1837.41,,,,
04/1/2007,1842.54,,,,
05/1/2007,1842.47,,,,
08/1/2007,1832.67,,,,
09/1/2007,1824.53,,,,
10/1/2007,1805.07,,,,
11/1/2007,1828.55,,,,
12/1/2007,1854.13,,,,
15/1/2007,1869.9,,,,
16/1/2007,1877.68,,,,
17/1/2007,1885.53,,,,
18/1/2007,1880.19,,,,
19/1/2007,1871.88,,,,
22/1/2007,1867.4,,,,
23/1/2007,1846.26,,,,
24/1/2007,1856.29,,,,
25/1/2007,1880.03,,,,
29/1/2007,1883.27,,,,
31/1/2007,1865.92,,,,
01/2/2007,1877.11,,,,
02/2/2007,1888.14,,,,
05/2/2007,1893.64,,,,
06/2/2007,1904.23,,,,
07/2/2007,1906.22,,,,
08/2/2007,1903.86,,,,
09/2/2007,1864.25,,,,
12/2/2007,1791.31,,,,
13/2/2007,1781.99,,,,
14/2/2007,1789.81,,,,
15/2/2007,1839.7,,,,
19/2/2007,1834.45,,,,
20/2/2007,1812.56,,,,
21/2/2007,1817.08,,,,
22/2/2007,1795.59,,,,
23/2/2007,1756.44,,,,
26/2/2007,1769.98,,,,
27/2/2007,1775.47,,,,
28/2/2007,1711.55,,,,
01/3/2007,1715.33,,,,
02/3/2007,1701.52,,,,
05/3/2007,1614.55,,,,
06/3/2007,1622.45,,,,
07/3/2007,1587.93,,,,
08/3/2007,1634.59,,,,
09/3/2007,1630.65,,,,
12/3/2007,1643.31,,,,
13/3/2007,1661.26,,,,
14/3/2007,1625.64,,,,
15/3/2007,1636.92,,,,
16/3/2007,1624.53,,,,
19/3/2007,1640.75,,,,
20/3/2007,1653.56,,,,
21/3/2007,1658.94,,,,
22/3/2007,1677.79,,,,
23/3/2007,1683.78,,,,
26/3/2007,1674.89,,,,
28/3/2007,1652.7,,,,
29/3/2007,1657.27,,,,
30/3/2007,1678.97,,,,
02/4/2007,1624.78,,,,
03/4/2007,1633.1,,,,
04/4/2007,1643.58,,,,
05/4/2007,1655.76,,,,
09/4/2007,1683.65,,,,
10/4/2007,1694.54,,,,
11/4/2007,1710.3,,,,
12/4/2007,1705.82,,,,
13/4/2007,1727.8,,,,
16/4/2007,1756.43,,,,
17/4/2007,1745.56,,,,
18/4/2007,1751.4,,,,
19/4/2007,1751.51,,,,
20/4/2007,1766.19,,,,
23/4/2007,1770.18,,,,
24/4/2007,1787.98,,,,
25/4/2007,1809.02,,,,
26/4/2007,1804.1,,,,
27/4/2007,1790.25,,,,
30/4/2007,1807.35,,,,
03/5/2007,1828.93,,,,
04/5/2007,1826.48,,,,
07/5/2007,1817.01,,,,
08/5/2007,1793.51,,,,
09/5/2007,1798.03,,,,
10/5/2007,1805.59,,,,
11/5/2007,1812.11,,,,
14/5/2007,1837.68,,,,
15/5/2007,1844.35,,,,
16/5/2007,1869.86,,,,
17/5/2007,1884.87,,,,
18/5/2007,1885.13,,,,
21/5/2007,1902.81,,,,
22/5/2007,1910.78,,,,
23/5/2007,1897.76,,,,
24/5/2007,1889.36,,,,
25/5/2007,1898.51,,,,
28/5/2007,1914.17,,,,
29/5/2007,1926.45,,,,
30/5/2007,1907.11,,,,
31/5/2007,1911.86,,,,
01/6/2007,1929.88,,,,
04/6/2007,1919.88,,,,
05/6/2007,1928.21,,,,
06/6/2007,1900.59,,,,
07/6/2007,1895.41,,,,
08/6/2007,1885.36,,,,
11/6/2007,1879.79,,,,
12/6/2007,1867.58,,,,
13/6/2007,1861.97,,,,
14/6/2007,1891.6,,,,
15/6/2007,1897.61,,,,
18/6/2007,1897.08,,,,
19/6/2007,1919.7,,,,
20/6/2007,1947.13,,,,
21/6/2007,1960.1,,,,
22/6/2007,1958.56,,,,
25/6/2007,1962.46,,,,
26/6/2007,1977.31,,,,
27/6/2007,1980.37,,,,
28/6/2007,1989.28,,,,
29/6/2007,2013.74,,,,
02/7/2007,2026.17,,,,
03/7/2007,2046.44,,,,
04/7/2007,2050.3,,,,
05/7/2007,2035.48,,,,
06/7/2007,2038.21,,,,
09/7/2007,2056.27,,,,
10/7/2007,2050.74,,,,
11/7/2007,2061.47,,,,
12/7/2007,2090.48,,,,
13/7/2007,2093.6,,,,
16/7/2007,2105.19,,,,
17/7/2007,2091.35,,,,
18/7/2007,2087.96,,,,
19/7/2007,2103.41,,,,
20/7/2007,2109.63,,,,
23/7/2007,2111.67,,,,
24/7/2007,2100.8,,,,
25/7/2007,2080.26,,,,
26/7/2007,2082.63,,,,
27/7/2007,2025.49,,,,
30/7/2007,2036.23,,,,
31/7/2007,2067.11,,,,
01/8/2007,1990.03,,,,
02/8/2007,2005.61,,,,
03/8/2007,2033.67,,,,
06/8/2007,2013.25,,,,
07/8/2007,2021.81,,,,
08/8/2007,2049.3,,,,
09/8/2007,2019.59,,,,
10/8/2007,2001.67,,,,
13/8/2007,2018.83,,,,
14/8/2007,2018.29,,,,
16/8/2007,1952.02,,,,
17/8/2007,1926.61,,,,
20/8/2007,1955.07,,,,
21/8/2007,1888.01,,,,
22/8/2007,1895.67,,,,
23/8/2007,1877.86,,,,
24/8/2007,1907.33,,,,
