Date,Last/Close,Open,High,Low,Volume
01/4/2005,1000.0,,,,
04/4/2005,1007.5,,,,
05/4/2005,998.77,,,,
06/4/2005,1017.08,,,,
07/4/2005,1018.96,,,,
08/4/2005,1011.39,,,,
11/4/2005,1003.75,,,,
12/4/2005,1011.74,,,,
13/4/2005,1009.74,,,,
15/4/2005,984.13,,,,
18/4/2005,979.05,,,,
19/4/2005,973.67,,,,
20/4/2005,980.67,,,,
21/4/2005,997.1,,,,
22/4/2005,1011.45,,,,
25/4/2005,1017.63,,,,
26/4/2005,1020.8,,,,
27/4/2005,1014.41,,,,
28/4/2005,1014.33,,,,
29/4/2005,994.01,,,,
02/5/2005,985.82,,,,
03/5/2005,991.87,,,,
04/5/2005,1010.35,,,,
05/5/2005,1023.33,,,,
06/5/2005,1029.39,,,,
09/5/2005,1044.64,,,,
10/5/2005,1049.7,,,,
11/5/2005,1054.01,,,,
12/5/2005,1074.0,,,,
13/5/2005,1089.11,,,,
16/5/2005,1104.24,,,,
17/5/2005,1091.12,,,,
18/5/2005,1093.87,,,,
19/5/2005,1108.16,,,,
20/5/2005,1111.15,,,,
23/5/2005,1119.48,,,,
24/5/2005,1117.5,,,,
25/5/2005,1123.98,,,,
26/5/2005,1119.84,,,,
27/5/2005,1109.82,,,,
30/5/2005,1098.3,,,,
31/5/2005,1108.69,,,,
01/6/2005,1118.06,,,,
02/6/2005,1110.03,,,,
03/6/2005,1124.28,,,,
04/6/2005,1136.34,,,,
06/6/2005,1141.5,,,,
07/6/2005,1147.21,,,,
08/6/2005,1150.16,,,,
09/6/2005,1153.46,,,,
10/6/2005,1147.9,,,,
13/6/2005,1151.01,,,,
14/6/2005,1154.87,,,,
15/6/2005,1162.31,,,,
16/6/2005,1137.27,,,,
17/6/2005,1116.66,,,,
20/6/2005,1103.99,,,,
21/6/2005,1111.54,,,,
22/6/2005,1112.59,,,,
23/6/2005,1117.72,,,,
24/6/2005,1129.66,,,,
27/6/2005,1125.03,,,,
28/6/2005,1103.09,,,,
29/6/2005,1114.13,,,,
30/6/2005,1122.95,,,,
01/7/2005,1139.85,,,,
04/7/2005,1156.58,,,,
05/7/2005,1149.27,,,,
06/7/2005,1170.55,,,,
07/7/2005,1156.74,,,,
08/7/2005,1178.69,,,,
11/7/2005,1198.27,,,,
12/7/2005,1203.08,,,,
13/7/2005,1215.39,,,,
14/7/2005,1218.22,,,,
15/7/2005,1236.13,,,,
18/7/2005,1258.74,,,,
19/7/2005,1263.13,,,,
20/7/2005,1269.26,,,,
21/7/2005,1264.55,,,,
22/7/2005,1279.86,,,,
25/7/2005,1282.23,,,,
26/7/2005,1273.58,,,,
27/7/2005,1267.94,,,,
29/7/2005,1255.36,,,,
01/8/2005,1256.78,,,,
02/8/2005,1283.93,,,,
03/8/2005,1282.15,,,,
04/8/2005,1299.13,,,,
05/8/2005,1315.96,,,,
08/8/2005,1305.87,,,,
09/8/2005,1310.1,,,,
10/8/2005,1342.85,,,,
11/8/2005,1359.07,,,,
